concurrent_clients,dataset,iteration,n_antidotedb_per_dc,n_fmke_app_per_dc,n_fmke_client_per_dc,n_fmke_pop_process,duration,ops
0,medium,5,1,7,0,1,40,283.0
0,medium,5,3,5,0,1,52,218.0
0,medium,1,1,1,0,1,42,270.0
0,medium,8,1,1,0,1,34,333.0
0,medium,5,5,7,0,1,53,214.0
0,medium,2,7,9,0,1,63,180.0
0,medium,1,7,7,0,1,65,174.0
0,medium,3,1,3,0,1,39,291.0
0,standard,9,5,1,0,50,93,10863.0
0,medium,2,1,9,0,1,42,270.0
0,medium,9,7,7,0,1,58,195.0
0,medium,9,5,5,0,1,56,202.0
0,medium,3,9,9,0,1,63,180.0
0,standard,1,7,3,0,50,73,13840.0
0,medium,2,5,5,0,1,64,177.0
0,medium,10,9,9,0,1,65,174.0
0,medium,3,3,9,0,1,54,210.0
0,medium,5,9,9,0,1,66,171.0
0,standard,4,3,7,0,50,74,13653.0
0,medium,7,5,1,0,1,60,189.0
0,medium,2,7,1,0,1,62,183.0
0,medium,7,7,5,0,1,62,183.0
0,medium,3,9,7,0,1,67,169.0
0,medium,10,9,5,0,1,63,180.0
0,medium,9,7,1,0,1,62,183.0
0,medium,10,9,1,0,1,68,166.0
0,medium,8,7,3,0,1,65,174.0
0,medium,4,9,9,0,1,65,174.0
0,medium,9,3,5,0,1,52,218.0
0,medium,7,3,5,0,1,53,214.0
0,medium,2,3,1,0,1,59,192.0
0,medium,8,9,7,0,1,66,171.0
0,medium,2,5,9,0,1,59,192.0
0,medium,10,7,3,0,1,63,180.0
0,medium,9,3,7,0,1,57,199.0
0,medium,3,9,1,0,1,63,180.0
0,medium,2,1,5,0,1,42,270.0
0,medium,8,3,1,0,1,47,241.0
0,medium,8,5,9,0,1,61,186.0
0,medium,2,9,5,0,1,64,177.0
0,medium,10,7,9,0,1,61,186.0
0,medium,8,7,7,0,1,61,186.0
0,medium,1,9,1,0,1,65,174.0
0,medium,7,1,7,0,1,41,276.0
0,medium,8,1,3,0,1,34,333.0
0,medium,1,9,5,0,1,65,174.0
0,medium,2,5,7,0,1,56,202.0
0,medium,1,7,1,0,1,63,180.0
0,medium,10,3,7,0,1,56,202.0
0,medium,3,7,3,0,1,62,183.0
0,medium,3,7,5,0,1,61,186.0
0,medium,6,3,1,0,1,57,199.0
0,medium,7,7,1,0,1,64,177.0
0,medium,1,5,5,0,1,60,189.0
0,medium,6,3,5,0,1,58,195.0
0,medium,8,7,1,0,1,56,202.0
0,medium,9,7,3,0,1,57,199.0
0,medium,1,3,1,0,1,50,227.0
0,medium,6,3,3,0,1,58,195.0
0,medium,1,3,9,0,1,54,210.0
0,medium,7,9,1,0,1,72,157.0
0,medium,5,1,5,0,1,39,291.0
0,medium,2,3,5,0,1,59,192.0
0,medium,9,1,1,0,1,33,343.0
0,medium,10,1,1,0,1,34,333.0
0,medium,5,9,5,0,1,66,171.0
0,medium,10,9,3,0,1,60,189.0
0,medium,10,5,1,0,1,58,195.0
0,medium,2,3,3,0,1,58,195.0
0,medium,7,1,5,0,1,43,263.0
0,medium,9,5,1,0,1,61,186.0
0,medium,6,9,7,0,1,67,169.0
0,medium,3,3,5,0,1,54,210.0
0,medium,1,7,5,0,1,60,189.0
0,medium,8,1,5,0,1,35,324.0
0,medium,3,7,9,0,1,64,177.0
0,medium,4,7,3,0,1,64,177.0
0,medium,10,5,9,0,1,52,218.0
0,standard,3,5,3,0,50,74,13653.0
0,medium,10,3,3,0,1,56,202.0
0,medium,2,7,7,0,1,64,177.0
0,standard,3,5,9,0,50,73,13840.0
0,medium,9,1,5,0,1,32,354.0
0,medium,5,7,5,0,1,62,183.0
0,medium,10,3,9,0,1,53,214.0
0,medium,10,3,1,0,1,53,214.0
0,medium,9,7,9,0,1,56,202.0
0,medium,5,5,5,0,1,62,183.0
0,medium,4,5,1,0,1,60,189.0
0,medium,2,1,1,0,1,42,270.0
0,medium,5,7,7,0,1,64,177.0
0,medium,3,1,9,0,1,40,283.0
0,medium,3,3,7,0,1,48,236.0
0,medium,8,9,1,0,1,68,166.0
0,medium,5,5,9,0,1,55,206.0
0,medium,3,5,7,0,1,65,174.0
0,medium,4,7,7,0,1,65,174.0
0,medium,8,9,9,0,1,62,183.0
0,medium,4,9,7,0,1,65,174.0
0,medium,4,3,7,0,1,53,214.0
0,medium,8,3,3,0,1,53,214.0
0,medium,10,5,3,0,1,59,192.0
0,medium,6,7,9,0,1,66,171.0
0,medium,1,3,3,0,1,45,252.0
0,medium,3,1,1,0,1,42,270.0
0,medium,2,9,1,0,1,67,169.0
0,medium,3,7,1,0,1,64,177.0
0,medium,6,9,9,0,1,66,171.0
0,medium,1,9,7,0,1,67,169.0
0,medium,9,1,3,0,1,39,291.0
0,medium,7,7,9,0,1,66,171.0
0,medium,4,3,1,0,1,56,202.0
0,medium,9,9,3,0,1,65,174.0
0,medium,4,7,5,0,1,65,174.0
0,medium,1,5,7,0,1,55,206.0
0,medium,6,7,3,0,1,62,183.0
0,medium,5,5,1,0,1,59,192.0
0,medium,7,1,3,0,1,32,354.0
0,medium,9,1,9,0,1,42,270.0
0,medium,10,5,7,0,1,57,199.0
0,medium,8,3,5,0,1,55,206.0
0,medium,8,9,3,0,1,68,166.0
0,medium,3,9,3,0,1,66,171.0
0,medium,10,7,5,0,1,62,183.0
0,medium,2,1,7,0,1,39,291.0
0,medium,1,1,7,0,1,40,283.0
0,medium,10,5,5,0,1,64,177.0
0,medium,9,3,1,0,1,51,222.0
0,medium,1,5,1,0,1,55,206.0
0,medium,3,3,1,0,1,51,222.0
0,medium,6,5,7,0,1,59,192.0
0,medium,9,3,3,0,1,60,189.0
0,medium,7,1,9,0,1,38,298.0
0,standard,4,3,1,0,50,93,10863.0
0,medium,3,3,3,0,1,45,252.0
0,standard,4,9,5,0,50,69,14642.0
0,medium,9,3,9,0,1,58,195.0
0,medium,10,1,3,0,1,39,291.0
0,medium,9,9,1,0,1,64,177.0
0,medium,8,5,3,0,1,59,192.0
0,medium,4,1,1,0,1,33,343.0
0,medium,8,3,9,0,1,51,222.0
0,medium,1,1,5,0,1,32,354.0
0,medium,1,3,7,0,1,59,192.0
0,standard,9,3,1,0,50,95,10635.0
0,medium,5,1,1,0,1,39,291.0
0,medium,10,7,1,0,1,60,189.0
0,medium,5,5,3,0,1,55,206.0
0,medium,5,3,1,0,1,60,189.0
0,medium,10,1,5,0,1,39,291.0
0,medium,6,1,1,0,1,39,291.0
0,medium,7,5,3,0,1,63,180.0
0,medium,2,9,7,0,1,65,174.0
0,standard,2,1,9,0,50,64,15786.0
0,medium,6,5,9,0,1,56,202.0
0,medium,1,9,9,0,1,61,186.0
0,medium,3,1,7,0,1,32,354.0
0,medium,7,3,7,0,1,58,195.0
0,medium,6,7,7,0,1,65,174.0
0,medium,4,1,9,0,1,42,270.0
0,standard,1,5,5,0,50,69,14642.0
0,medium,3,7,7,0,1,60,189.0
0,medium,6,7,1,0,1,65,174.0
0,medium,8,7,9,0,1,64,177.0
0,medium,2,3,7,0,1,59,192.0
0,medium,1,7,3,0,1,64,177.0
0,medium,8,1,7,0,1,43,263.0
0,medium,3,5,1,0,1,62,183.0
0,medium,10,7,7,0,1,62,183.0
0,medium,6,5,5,0,1,58,195.0
0,standard,10,3,9,0,50,74,13653.0
0,medium,6,1,7,0,1,32,354.0
0,medium,2,7,5,0,1,58,195.0
0,medium,1,3,5,0,1,53,214.0
0,medium,1,7,9,0,1,61,186.0
0,medium,8,7,5,0,1,62,183.0
0,medium,9,9,5,0,1,57,199.0
0,medium,7,1,1,0,1,39,291.0
0,medium,2,9,9,0,1,66,171.0
0,medium,5,7,3,0,1,56,202.0
0,medium,1,1,9,0,1,33,343.0
0,medium,3,1,5,0,1,31,366.0
0,medium,9,9,9,0,1,64,177.0
0,medium,4,7,9,0,1,57,199.0
0,medium,1,9,3,0,1,59,192.0
0,medium,1,5,3,0,1,56,202.0
0,medium,7,9,3,0,1,65,174.0
0,medium,7,3,1,0,1,54,210.0
0,medium,7,5,5,0,1,63,180.0
0,medium,8,5,7,0,1,61,186.0
0,medium,5,3,3,0,1,47,241.0
0,medium,10,9,7,0,1,66,171.0
0,medium,5,9,3,0,1,64,177.0
0,medium,4,7,1,0,1,58,195.0
0,medium,6,9,5,0,1,66,171.0
0,medium,4,1,7,0,1,41,276.0
0,medium,10,3,5,0,1,51,222.0
0,medium,8,9,5,0,1,64,177.0
0,standard,6,3,1,0,50,92,10982.0
0,medium,6,9,1,0,1,65,174.0
0,medium,3,9,5,0,1,58,195.0
0,medium,6,5,1,0,1,61,186.0
0,medium,7,9,5,0,1,67,169.0
0,medium,2,7,3,0,1,55,206.0
0,medium,6,9,3,0,1,66,171.0
0,standard,5,9,3,0,50,70,14433.0
0,medium,4,9,5,0,1,67,169.0
0,medium,10,1,9,0,1,39,291.0
0,standard,5,5,9,0,50,78,12953.0
0,medium,8,5,5,0,1,59,192.0
0,medium,2,3,9,0,1,58,195.0
0,medium,9,5,3,0,1,56,202.0
0,medium,7,9,7,0,1,67,169.0
0,medium,1,5,9,0,1,60,189.0
0,medium,4,3,3,0,1,58,195.0
0,medium,6,1,9,0,1,38,298.0
0,medium,7,3,9,0,1,46,246.0
0,medium,2,5,1,0,1,62,183.0
0,standard,6,9,7,0,50,73,13840.0
0,medium,7,7,3,0,1,63,180.0
0,medium,8,3,7,0,1,60,189.0
0,medium,9,5,7,0,1,59,192.0
0,medium,9,1,7,0,1,42,270.0
0,medium,3,5,5,0,1,62,183.0
0,standard,2,5,7,0,50,78,12953.0
0,medium,5,1,9,0,1,32,354.0
0,medium,4,1,5,0,1,32,354.0
0,medium,4,9,3,0,1,66,171.0
0,medium,5,7,1,0,1,64,177.0
0,medium,7,5,9,0,1,55,206.0
0,medium,6,3,9,0,1,50,227.0
0,medium,6,1,3,0,1,30,378.0
0,medium,6,1,5,0,1,40,283.0
0,medium,8,5,1,0,1,62,183.0
0,medium,6,5,3,0,1,52,218.0
0,medium,5,3,9,0,1,59,192.0
0,medium,9,5,9,0,1,62,183.0
0,medium,5,3,7,0,1,53,214.0
0,medium,4,3,9,0,1,46,246.0
0,medium,7,9,9,0,1,65,174.0
0,medium,7,5,7,0,1,63,180.0
0,medium,1,1,3,0,1,40,283.0
0,medium,4,5,9,0,1,58,195.0
0,medium,4,5,3,0,1,62,183.0
0,medium,7,7,7,0,1,59,192.0
0,medium,6,3,7,0,1,55,206.0
0,standard,8,9,5,0,50,69,14642.0
0,medium,7,3,3,0,1,51,222.0
0,medium,5,9,7,0,1,64,177.0
0,medium,2,1,3,0,1,42,270.0
0,medium,4,5,7,0,1,58,195.0
0,medium,6,7,5,0,1,65,174.0
0,medium,2,5,3,0,1,63,180.0
0,medium,5,9,1,0,1,64,177.0
0,medium,3,5,9,0,1,59,192.0
0,medium,4,1,3,0,1,34,333.0
0,medium,4,9,1,0,1,56,202.0
0,medium,5,7,9,0,1,61,186.0
0,medium,3,5,3,0,1,55,206.0
0,medium,9,9,7,0,1,65,174.0
0,standard,3,3,9,0,50,75,13471.0
0,medium,4,3,5,0,1,54,210.0
0,medium,2,9,3,0,1,63,180.0
0,medium,4,5,5,0,1,59,192.0
0,medium,8,1,9,0,1,33,343.0
0,medium,10,1,7,0,1,42,270.0
0,medium,9,7,5,0,1,53,214.0
0,medium,5,1,3,0,1,38,298.0
